Step,Reward
400,561.5553781995276
800,498.0210238720095
1200,501.4645066933321
1600,460.29222674225684
2000,470.01768010011483
2400,435.4888183873423
2800,631.1464521266251
3200,1130.5410951178155
3600,754.9718392198432
4000,494.2798608441256
4400,507.69430230206655
4800,865.9875689265525
5200,354.0362205783041
5600,418.5585867257948
6000,400.38900065265005
6400,1121.8605586779809
6800,569.4635158396715
7200,1065.5665984599405
7600,366.21902416301697
8000,672.8068100629633
8400,1530.5519734055206
8800,983.4864262782393
9200,799.8629057630216
9600,473.2810582101357
10000,479.1400514086311
10400,518.2105998718408
10800,440.2653334887484
11200,688.9428754870149
11600,664.6020083230046
12000,430.751004278337
12400,549.064167954206
12800,792.299441777519
13200,430.3336786059755
13600,741.9136452916371
14000,895.9634256368116
14400,423.2751656388168
14800,724.1411386145311
15200,762.3332376688418
15600,595.3429830948454
16000,715.4147883094654
16400,499.7237253368847
16800,629.9765561581014
17200,770.6969671321058
17600,561.3825869585479
18000,594.6158116248074
18400,576.5129108332534
18800,634.7311503895821
19200,436.31984416738266
19600,665.4671376733352
20000,858.4700909772978
20400,597.0202533499546
20800,1236.7009952048707
21200,522.1531578180732
21600,731.6017457604215
22000,1155.4088042642422
22400,551.10170985431
22800,937.3849165437547
23200,630.3007590398937
23600,856.5005439614991
24000,551.0736074866256
24400,873.9372360119052
24800,884.2141090015283
25200,764.7084723527147
25600,762.4700001923761
26000,969.0161696693409
26400,666.3067822137664
26800,1084.0095532010164
27200,670.958450634856
27600,466.81003517564085
28000,1169.5376229488822
28400,532.2144730196536
28800,892.7581046265072
29200,548.8305867313547
29600,531.0715914024198
30000,1270.4804330502095
30400,584.1579402097518
30800,673.451012583163
31200,599.5075967330326
31600,606.5927912437227
32000,557.7630117100197
32400,907.1169799628665
32800,691.7817092406158
33200,676.1786855400339
33600,1213.5693941450304
34000,1330.5399504110417
34400,615.585917911237
34800,1465.091506650866
35200,594.7179815766582
35600,632.138231876873
36000,1359.2157991862937
36400,2038.5124591637316
36800,2182.045601681837
37200,842.1441050130369
37600,2375.400163153531
38000,548.9716894647512
38400,540.7040125740014
38800,1912.3681057201543
39200,630.4494002386396
39600,610.1850069706217
40000,558.720166870591
40400,617.2730489175739
40800,644.4144667683572
41200,1601.5979355058862
41600,1171.1009022693765
42000,980.1960737554245
42400,1662.9802044151136
42800,1322.7804943961169
43200,809.2151774270916
43600,638.9760357749252
44000,1332.4068648710077
44400,1588.7072945569996
44800,690.8571208642568
45200,668.5230077264634
45600,1493.4908855660408
46000,1237.3505751417592
46400,936.7959625121958
46800,1742.1162370714267
47200,1910.8183315137037
47600,1263.2648029330069
48000,1607.2989332505977
48400,1285.284833145928
48800,873.6879162340659
49200,1328.9009813815885
49600,1743.072299901692
50000,1762.0823445779577
50400,1956.5697260209506
50800,1260.1400467857497
51200,1831.1942398612482
51600,1378.1787206531142
52000,1868.016994968341
52400,1424.373350082032
52800,1910.2049352406445
53200,1741.6626470909614
53600,2019.7155459140465
54000,1861.1209376930901
54400,1269.3722421639584
54800,1288.160911053513
55200,2046.0851005145507
55600,1792.1668300646675
56000,1823.0603592265197
56400,1844.8770644917272
56800,1777.446914929459
57200,1846.3738748193568
57600,1845.7318314082395
58000,1827.233274522272
