Step,Reward
400,161.6680755446825
800,171.74229010196436
1200,186.12906697422713
1600,150.17921938094614
2000,184.59749878423696
2400,163.01154864096034
2800,186.59535001260622
3200,195.8740968460958
3600,199.59758213616934
4000,178.21843371505076
4400,154.86322104141465
4800,245.96043003340168
5200,163.1208852377563
5600,156.63849157745568
6000,167.5122217085737
6400,207.57283660516663
6800,172.65937492757922
7200,187.011663112116
7600,169.3878063803665
8000,176.71179268162533
8400,182.75050988979518
8800,194.51189217681758
9200,168.25115148351748
9600,167.4985589648195
10000,165.59723444989248
10400,176.40516588188453
10800,171.35000336719438
11200,165.31358861331267
11600,194.83880749953514
12000,189.01535479495718
12400,172.53040892764227
12800,178.86037540819
13200,162.6675947661291
13600,249.3903783297102
14000,188.76929098449085
14400,165.69574097241028
14800,171.45993468233047
15200,176.03112325944272
15600,184.5243950110781
16000,218.267045132621
16400,169.13176822504346
16800,206.7238622119593
17200,170.47616789055357
17600,165.67687556037777
18000,196.1811264222472
18400,188.59837704973972
18800,173.31939524357068
19200,184.77823716994365
19600,170.71596647284392
20000,184.60766011409436
20400,175.5242460315364
20800,176.86116029065806
21200,143.99965689196233
21600,176.2025699230825
22000,173.59875219607957
22400,200.77486642273732
22800,161.40944855335513
23200,190.40584627315687
23600,181.61662918296068
24000,172.88757518847729
24400,194.60499508642445
24800,170.78294830655204
25200,158.3415101817619
25600,178.95884013240578
26000,170.72555236863283
26400,164.4307157848341
26800,216.75838663107743
27200,218.4501613403643
27600,198.12397558860386
28000,183.4070841099905
28400,142.9199897098135
28800,187.35897091172566
29200,225.26599217572866
29600,158.1113983281956
30000,190.78054905870323
30400,198.45924851050844
30800,180.1975338961857
31200,199.2365048476705
31600,167.05829083377677
32000,184.67835952777298
32400,140.71230072258297
32800,163.34652770313267
33200,190.06167037232174
33600,144.36442195210978
34000,168.46888515816215
34400,228.68298804383554
34800,172.93175143911057
35200,186.37193400560454
35600,209.28731090830843
36000,171.23337089213055
36400,190.2537533746788
36800,209.24323021325353
37200,238.45443193419163
37600,207.49451206951818
38000,204.7495709282065
38400,208.59089917353793
38800,205.64741747857272
39200,207.08632691037536
39600,180.326029556811
40000,215.1489971103304
40400,218.59356776541782
40800,205.98422792463813
41200,201.32021383304672
41600,171.09901256039288
42000,168.29155264027332
42400,196.02920938792005
42800,158.8931282929191
43200,170.10622887892958
43600,212.43617430035619
44000,203.50914409034752
44400,183.28072684179693
44800,225.77983472699208
45200,219.52262378045256
45600,202.62014765016585
46000,281.9724016037936
46400,219.2090916419756
46800,182.97938363892817
47200,210.4935357089484
47600,185.4940538411096
48000,221.61944109902723
48400,247.84271129583132
48800,272.5598284568962
49200,208.2547528318709
49600,209.93533185958552
50000,211.07987874222655
50400,203.84449596546276
50800,203.23905787323392
51200,193.4836345334496
51600,214.41208321696297
52000,203.16417838727156
52400,195.42840882747785
52800,195.02258268905223
53200,171.21249837367975
53600,206.5374551830367
54000,207.53446315535342
54400,288.9300099763122
54800,206.55818475164335
55200,227.95095401777817
55600,202.57006813688037
56000,230.63388798499236
56400,226.07266354982755
56800,227.64968042141737
57200,335.89595113988815
57600,230.33524059666718
58000,324.6626734459203
58400,211.5527948967097
58800,205.12316574830513
59200,206.83312701857287
59600,232.38379451372288
60000,230.78298945577995
60400,211.44218918274956
60800,220.6550198563712
61200,249.9005923767045
61600,222.99871370480778
62000,877.1305476748904
62400,231.0885039463669
