Step,Reward
237200,3578.6358323443337
237600,3422.311768389512
238000,3782.3600654231127
238400,2283.2241855565594
238800,3806.9686365396565
239200,3760.3732111287286
239600,3831.5480344996417
240000,3849.3029167246355
240400,3829.68703096637
240800,3757.450020093248
241200,3802.1674187049057
241600,3722.784504303438
242000,3835.7734428067793
242400,3820.7697326731686
242800,3845.456272454077
243200,3795.336720319199
243600,3761.4244895529864
244000,3784.8205501936736
244400,3813.0154112816294
244800,3872.6518247731406
245200,3779.899575841464
245600,3853.669436803274
246000,3816.773784515578
246400,3808.822180107372
246800,3872.4164478710677
247200,3713.477580409684
247600,3800.03266934062
248000,3852.397296906136
248400,3829.2532915156758
248800,3850.5563458817287
249200,3813.559759773868
249600,3668.987568074348
250000,3778.0481282713017
250400,3831.5983358122658
250800,3808.2028157753966
251200,3849.4691281063165
251600,3813.3714551082944
252000,3796.874084879432
252400,3854.779856119468
252800,3774.339331372604
253200,3828.4332404513907
253600,3683.6744631169654
254000,3826.714921915509
254400,3808.4587298371425
254800,3872.9870903025503
255200,3872.5302922600945
255600,3845.055628440762
256000,3847.180846565225
256400,3812.7318927881647
256800,3838.0041197393725
257200,3810.3863071684323
257600,3811.347878407624
258000,3816.0023042360003
258400,3878.446552438919
258800,3810.434962175638
259200,3831.886406111758
259600,3828.7704485798104
260000,3783.1222001867554
260400,3863.600446472957
260800,3845.211538734363
261200,3842.992047555574
261600,3821.8546636215797
262000,3889.934594782948
262400,3870.3076518497096
262800,3817.732139243056
263200,3837.217638076713
263600,3799.5364732185303
264000,3813.3732029131284
264400,3882.251127555855
264800,3868.779056459493
265200,3814.657047761407
265600,3794.4227270582182
266000,3791.45862631637
266400,3830.8574208588925
266800,3874.424981880093
267200,3803.9915063555895
267600,3819.5996312145658
268000,3587.376184503237
268400,3845.72899133645
268800,1189.6932477852938
269200,3821.635749359128
269600,3232.848689529201
270000,3635.5375900771587
270400,3727.2237709657675
270800,3818.22034624988
271200,3647.6414040184313
271600,3214.655138265124
272000,3409.133449311456
272400,3777.6426571055404
272800,3772.6779360669047
273200,3722.8560535573242
273600,3041.7674665164805
274000,3345.733433118256
274400,2128.6546688489425
274800,3509.777125119887
275200,2756.255874615958
275600,1442.9566904257845
276000,1572.7707933293077
276400,629.5278053466351
276800,1678.771820288602
277200,1769.1795900978807
277600,1347.2886334325071
278000,2019.1831111457893
278400,2871.3351575916627
278800,3659.374293354618
279200,514.4705824100294
279600,3024.2202121656646
280000,536.3055458682414
280400,2507.905271994819
280800,2557.77817233992
281200,3717.8639321502183
281600,3779.22147998741
282000,2987.9018779858593
282400,3649.0673512130306
282800,1924.1918864678653
283200,3599.593696558221
283600,3650.4280110086074
284000,3870.3725098910804
284400,3732.194057629647
284800,2648.657648887272
285200,2849.9191389422203
285600,3799.23824226422
286000,3779.8695758321383
286400,3265.0583496747954
286800,3554.761273626284
287200,3857.5800775130497
287600,2750.423445790487
288000,3270.473100997545
288400,3368.147615289082
288800,3868.7277814245176
289200,3813.9020847715387
289600,3810.6582386825785
290000,3828.797640172131
290400,3813.776472017412
290800,3650.2508519652674
291200,2938.0664907099385
291600,3686.6143839955016
292000,3164.825868193683
292400,3839.7051603283753
292800,3762.2070267170684
293200,3561.8433809589533
293600,3819.4584294096744
294000,3148.95565083095
294400,3679.297217852248
294800,3077.180172856091
295200,3648.4413729127104
295600,3830.134488331836
296000,3735.7069651640604
296400,3866.7407450037076
296800,3792.151689537643
297200,3805.6868501726176
297600,3820.9205587008832
298000,3839.5525310830403
298400,3850.7168733758467
298800,3879.008321506215
299200,3005.3251994661327
299600,646.9892049279356
300000,3724.491245292879
300400,3748.0502416706836
300800,3807.80530768333
301200,3683.7705418586643
301600,3829.7936783964337
302000,3808.4378485372376
302400,3804.8108430375264
302800,3811.217001461666
303200,1836.7086011012861
303600,3725.712877071502
304000,3811.38399290744
304400,3761.046651988637
304800,3732.0700974525125
305200,1859.1916572088178
305600,3513.3073515881615
306000,3807.450805445491
306400,3794.4380399250795
306800,3896.8672790174523
307200,3878.027202873155
307600,3836.301525477577
308000,3819.339246494841
308400,3890.9904223375534
308800,3775.727457512827
309200,3780.3916357029984
309600,3769.973764595579
310000,3766.4337240721948
310400,3808.8090855537193
310800,3857.1601468336303
311200,2459.4580078917934
311600,3278.038192176789
312000,3866.78452993207
312400,3860.889578102867
312800,3283.221001766136
313200,3825.3703446220047
313600,2689.099029269381
314000,3848.6952529316877
314400,3684.8196599347243
314800,3697.043480561822
315200,3680.6581907958707
315600,3795.93125786418
316000,2268.9042964459786
316400,3798.2077027777104
316800,3809.662296519398
317200,3737.1905612801556
317600,3743.154440321713
318000,3823.019612915867
318400,3741.3110434786054
318800,2563.4690939845996
319200,3851.838749213112
319600,3849.5293525664147
320000,3469.4435142827965
320400,3717.183336571546
320800,3530.7000439579137
321200,2589.2038858193664
321600,2900.6765802868026
322000,3623.266523398298
322400,1991.9241888689098
322800,3515.7499670761595
323200,3724.6959003343504
323600,3377.0812582954727
324000,3777.673485512115
324400,3770.419259406067
324800,3843.003402917004
325200,2749.172920345766
325600,3689.769473430336
326000,2714.6333661157655
326400,3782.618720331409
326800,3830.045129520274
327200,3723.347338515975
327600,3544.27871051469
328000,3515.047673028969
328400,3868.5994186654234
328800,3816.8235143264174
329200,3879.650750433707
329600,3870.6946294727622
330000,3465.3831189010157
330400,3820.375527472077
330800,3632.813222992231
331200,3404.0344967681426
331600,3652.0941450132837
332000,3873.8352736740217
332400,463.13123840629436
332800,3832.9913272452295
333200,3811.8149353935796
333600,3807.2037509113934
334000,3825.264090667958
334400,3896.1714893882236
334800,3839.3940977017924
335200,3799.5763192746667
335600,2754.37351910892
336000,3805.2820144709904
336400,3843.7205408735085
336800,3845.0836039583364
337200,3865.77614716345
337600,3867.534712049001
338000,3833.045327802826
338400,3854.9857962179362
338800,3852.0193270236273
339200,3856.5178351461805
339600,3893.1762732827833
340000,3830.1834652910593
340400,3855.7052188241196
340800,3836.705752596932
341200,3823.6907597917066
341600,3601.877385039436
342000,3868.642476641534
342400,3804.096185862983
342800,3824.8494645477795
343200,3781.98666551897
343600,3766.7587371000022
344000,3820.1679331374044
344400,3822.0413270814724
344800,3850.4072271439745
345200,3766.0906829550117
345600,3824.3681079539233
346000,3263.425457101802
346400,3706.525772074116
346800,3654.3865436086085
347200,3865.980039963389
347600,3889.8083904865784
348000,3826.6441865717134
348400,3772.079242085325
348800,3873.1676256538776
349200,3809.2200358127984
349600,3825.6166532369048
350000,3777.2300509811753
350400,3837.146071593079
350800,3875.5717954189845
351200,3431.9333798725675
351600,3741.0166845982126
352000,3826.8660099407016
352400,3831.0290615358745
352800,3887.7737370670593
353200,3844.4488899044945
353600,2607.766110741697
354000,3872.1685450206696
354400,3836.4648520550363
354800,3835.1781777802926
355200,3834.345609271558
355600,3705.393360650552
356000,3891.4726191173527
356400,3861.2746921477615
356800,114.8174480391737
357200,176.06378725129574
357600,3833.5343426197787
358000,3843.219374079538
358400,3830.44561631939
358800,3845.5155547047443
359200,3879.4737466052247
359600,3776.6612669032083
360000,3343.7706237283023
360400,3877.905532880034
360800,3845.2981606604862
361200,3878.9757887151213
361600,3645.5870851337186
362000,3889.8603940377016
362400,3638.7335746166495
362800,3851.66341530577
363200,3776.6692923921437
363600,3815.366083957356
364000,3829.025881840358
364400,3875.606855218055
364800,3867.769488491376
365200,3835.6945440562567
365600,3848.4564780690175
366000,3832.7378412738276
366400,3770.934320122668
366800,3845.922043915899
367200,3836.1806379795153
367600,3824.256291245568
368000,3869.724321494103
368400,3836.00980766653
368800,3822.251330954933
369200,3853.6663318500196
369600,3887.4637918029653
370000,3887.2470387688313
370400,3822.4774221905905
370800,3828.172791291128
371200,3823.9000442977804
371600,3797.886267523746
372000,3773.163136783235
372400,3817.7614812930915
372800,3873.639352548151
373200,3784.380902838473
373600,3886.003849475876
374000,3820.63454927123
374400,3839.795285329434
374800,1353.4744104102892
375200,3857.205569390577
375600,3854.936473222003
376000,3826.1874028977318
376400,3819.112307071455
376800,3779.4243893516814
377200,3845.2901873140127
377600,3850.3429089311367
378000,3772.48923260524
378400,3832.657346994236
378800,3877.7731260374776
379200,3864.4694374884384
379600,3691.2591501466004
380000,3785.5405949249002
380400,3829.2424041981744
380800,3830.4158943420407
381200,3844.282742454821
381600,3848.0961049530088
382000,3817.8881839853116
382400,3818.9643494634174
382800,3872.0976486196314
383200,3816.984535237766
383600,2811.0272928519917
384000,3802.053437703327
384400,3805.641232541089
384800,3772.221302374548
385200,3723.3391196520174
385600,3265.7609283232864
386000,3787.1896364355466
386400,3823.072248802857
386800,3841.530561616999
387200,3797.2522418795584
387600,3793.8039116267164
388000,3852.3737560851023
388400,3736.5764497749033
388800,3881.155209192328
389200,3849.7339398210656
389600,3834.50927064236
390000,3855.1220646071633
390400,3822.4850955155016
390800,3743.0024829123176
391200,3821.838147437348
391600,3882.665639614819
392000,3842.5241297530547
392400,3817.2540224585478
392800,3832.718288979274
393200,3824.432187194324
393600,3661.0779939128943
394000,3859.2001770472116
394400,3855.1185132705973
394800,3822.225409662605
395200,3816.9447410051444
395600,3337.0966678656328
396000,3814.6417612492764
396400,3828.572480322155
396800,3824.895413014694
397200,3681.1003424291666
397600,3813.6128504928975
398000,3830.800411201032
398400,3088.200085959287
398800,3860.7513576999404
399200,3825.6530426276195
399600,3794.6574014345433
