Step,Reward,Smoothed5Reward,Smoothed10Reward,Smoothed20Reward,Smoothed30Reward,Smoothed40Reward,Smoothed50Reward
400,18.148526729698315,18.148526729698315,18.148526729698315,18.148526729698315,18.148526729698315,18.148526729698315,18.148526729698315
800,13.74319514282898,15.945860936263648,15.945860936263648,15.945860936263648,15.945860936263648,15.945860936263648,15.945860936263648
1200,20.06213411591823,17.31795199614851,17.31795199614851,17.31795199614851,17.31795199614851,17.31795199614851,17.31795199614851
1600,35.62769268744164,21.89538716897179,21.89538716897179,21.89538716897179,21.89538716897179,21.89538716897179,21.89538716897179
2000,10.552382637261427,19.626786262629718,19.626786262629718,19.626786262629718,19.626786262629718,19.626786262629718,19.626786262629718
2400,7.274584100913726,17.4519977368728,17.56808590234372,17.56808590234372,17.56808590234372,17.56808590234372,17.56808590234372
2800,38.52541383475504,22.408441475258012,20.561989892688192,20.561989892688192,20.561989892688192,20.561989892688192,20.561989892688192
3200,27.763254255780016,23.94866550323037,21.462147938074672,21.462147938074672,21.462147938074672,21.462147938074672,21.462147938074672
3600,29.520556114344718,22.727238188610986,22.357526624326898,22.357526624326898,22.357526624326898,22.357526624326898,22.357526624326898
4000,20.968270123046256,24.81041568576795,22.218600974198836,22.218600974198836,22.218600974198836,22.218600974198836,22.218600974198836
4400,28.960276827850716,29.147554231155347,23.299775984014076,22.831480597258096,22.831480597258096,22.831480597258096,22.831480597258096
4800,47.06517092060939,30.855505648326222,26.63197356179212,24.850954790870702,24.850954790870702,24.850954790870702,24.850954790870702
5200,15.522945852769304,28.407443967724078,26.178054735477225,24.13341564178598,24.13341564178598,24.13341564178598,24.13341564178598
5600,18.52908599172773,26.20914994320068,24.46819406590583,23.733106381067532,23.733106381067532,23.733106381067532,23.733106381067532
6000,9.196971973730346,23.8548903133375,24.332652999552725,22.76403075391172,22.76403075391172,22.76403075391172,22.76403075391172
6400,25.497043523620302,23.162243652491416,26.154898941823383,22.93484405201851,22.93484405201851,22.93484405201851,22.93484405201851
6800,29.196337659641745,19.588477000297885,25.22199132431205,23.303167205408112,23.303167205408112,23.303167205408112,23.303167205408112
7200,298.2809904887892,76.14008592750187,52.273764947612975,38.57971294337373,38.57971294337373,38.57971294337373,38.57971294337373
7600,11.188654946861012,74.67199971852851,50.4405748308646,37.138078311978326,37.138078311978326,37.138078311978326,37.138078311978326
8000,11.522767939182131,75.13715891161887,49.49602461247818,35.857312793338515,35.857312793338515,35.857312793338515,35.857312793338515
8400,28.65630257754508,75.76901072240383,49.46562718744762,36.38270158573085,35.5144075449674,35.5144075449674,35.5144075449674
8800,29.72086599167235,75.87391638880996,47.731196694553915,37.18158512817301,35.251064747090346,35.251064747090346,35.251064747090346
9200,22.914064738817743,20.800531238815662,48.47030858315876,37.32418165931799,34.71467344238284,34.71467344238284,34.71467344238284
9600,11.11349051380748,20.785498352204957,47.72874903536673,36.09847155063629,33.73129082035887,33.73129082035887,33.73129082035887
10000,14.122482169667688,21.30544119830207,48.221300054960466,36.2769765272566,32.946938474331226,32.946938474331226,32.946938474331226
10400,17.981426688766955,19.170466020546446,47.46973837147514,36.81231865664926,32.37134186719414,32.37134186719414,32.37134186719414
10800,23.165776397975478,17.859448101807068,46.8666822453085,36.044336784810284,32.03039499796382,32.03039499796382,32.03039499796382
11200,17.13093056466771,16.70282126697706,18.751676252896356,35.51272060025467,31.49827126820324,31.49827126820324,31.49827126820324
11600,11.954399170605486,16.87100299833666,18.8282506752708,34.63441275306771,30.824344644148145,30.824344644148145,30.824344644148145
12000,7.84009840110037,15.614526244623201,18.459983721462628,33.978004166970415,30.058203102713218,30.058203102713218,30.058203102713218
12400,24.760518695094543,16.97034464588872,18.070405333217575,33.7680162603326,30.278602834893093,29.887310057306166,29.887310057306166
12800,10.579718442881012,14.453133054869824,16.156290578338442,31.943743636446186,30.173153611561492,29.28394781935538,29.28394781935538
13200,8.589599089361784,12.74486675980864,14.723844013392844,31.597076298275805,29.790735777342945,28.656846342688905,28.656846342688905
13600,18.85123959080472,14.124234843848484,15.497618921092567,31.61318397822966,29.231520674121718,28.368446144104077,28.368446144104077
14000,34.4551404665202,19.44724325693245,17.530884750777822,32.876092402869155,30.028279268430346,28.54235169617311,28.54235169617311
14400,13.930014971287722,17.28114251217109,17.125743579029894,32.29774097525252,30.250126964109477,28.136453453815182,28.136453453815182
14800,30.17561325320245,21.200321474235373,17.826727264552595,32.346704754930556,29.971800278057724,28.19156588082565,28.19156588082565
15200,40.670923311348,27.61658631863262,20.180726539220622,19.466201396058494,30.402055913243323,28.51997002373413,28.51997002373413
15600,9.837058395787055,25.813750079629084,19.968992461738782,19.3986215685048,29.745939322624732,28.040921007632924,28.040921007632924
16000,24.257216967376586,23.774165379800365,21.610704318366402,20.035344019914522,29.855570884102413,27.946328406626513,27.946328406626513
