Step,Reward,Smoothed5Reward,Smoothed10Reward,Smoothed20Reward,Smoothed30Reward,Smoothed40Reward,Smoothed50Reward
400,14.251883660333265,14.251883660333265,14.251883660333265,14.251883660333265,14.251883660333265,14.251883660333265,14.251883660333265
800,6.785677712407912,10.518780686370588,10.518780686370588,10.518780686370588,10.518780686370588,10.518780686370588,10.518780686370588
1200,5.667807283624673,8.901789552121949,8.901789552121949,8.901789552121949,8.901789552121949,8.901789552121949,8.901789552121949
1600,7.31934611357248,8.506178692484582,8.506178692484582,8.506178692484582,8.506178692484582,8.506178692484582,8.506178692484582
2000,5.51832955254076,7.908608864495818,7.908608864495818,7.908608864495818,7.908608864495818,7.908608864495818,7.908608864495818
2400,2.708400409850939,5.599912214399353,7.041907455388338,7.041907455388338,7.041907455388338,7.041907455388338,7.041907455388338
2800,4.975496027135081,5.237875877344787,6.74670582278073,6.74670582278073,6.74670582278073,6.74670582278073,6.74670582278073
3200,6.397038501859012,5.383722120991655,6.702997407665515,6.702997407665515,6.702997407665515,6.702997407665515,6.702997407665515
3600,7.547167626232407,5.42928642352364,6.796794098617393,6.796794098617393,6.796794098617393,6.796794098617393,6.796794098617393
4000,6.729486593077441,5.671517831630976,6.790063348063397,6.790063348063397,6.790063348063397,6.790063348063397,6.790063348063397
4400,5.803569373271885,6.290551624315166,5.945231919357259,6.700382077627805,6.700382077627805,6.700382077627805,6.700382077627805
4800,6.132896755245491,6.522031769937247,5.879953823641016,6.653091634095946,6.653091634095946,6.653091634095946,6.653091634095946
5200,5.783239859562245,6.399272041477894,5.891497081234775,6.586179959131815,6.586179959131815,6.586179959131815,6.586179959131815
5600,5.793649513404157,6.048568418912244,5.738927421217943,6.529570641579839,6.529570641579839,6.529570641579839,6.529570641579839
6000,6.3707238301016185,5.97681586631708,5.824166848974028,6.518980854147958,6.518980854147958,6.518980854147958,6.518980854147958
6400,7.262864131185992,6.268674817899901,6.2796132211075335,6.565473558962835,6.565473558962835,6.565473558962835,6.565473558962835
6800,6.059962383279595,6.254087943506722,6.388059856721985,6.535737607452056,6.535737607452056,6.535737607452056,6.535737607452056
7200,8.569952281067339,6.811430427807741,6.605351234642816,6.648749533764017,6.648749533764017,6.648749533764017,6.648749533764017
7600,6.101273616606546,6.872955248448219,6.46076183368023,6.6199350118083595,6.6199350118083595,6.6199350118083595,6.6199350118083595
8000,4.452651182034928,6.48934071883488,6.23307829257598,6.5115708203196885,6.5115708203196885,6.5115708203196885,6.5115708203196885
8400,6.54149694511078,6.345067281619838,6.306871049759869,6.126051484558564,6.512995873881168,6.512995873881168,6.512995873881168
8800,6.542136348110803,6.44150207458608,6.347795009046401,6.113874416343709,6.5143204408916064,6.5143204408916064,6.5143204408916064
9200,9.292961601837774,6.586103938740166,6.6987671832739535,6.295132132254364,6.635130926150136,6.635130926150136,6.635130926150136
9600,4.542159291583699,6.2742810737355965,6.5736181610919076,6.156272791154924,6.547923774709868,6.547923774709868,6.547923774709868
10000,5.23293505040563,6.430337847409737,6.459839283122308,6.142003066048168,6.495324225737699,6.495324225737699,6.495324225737699
10400,6.924975198959554,6.507033498179491,6.426050389899665,6.352831805503599,6.511849263169308,6.511849263169308,6.511849263169308
10800,5.605616594741606,6.319729547505653,6.380615811045866,6.384337833883925,6.4782850902645785,6.4782850902645785,6.4782850902645785
11200,7.21211435032815,5.903560097203728,6.244832017971946,6.425091626307382,6.504493278123992,6.504493278123992,6.504493278123992
11600,5.575210384394737,6.110170315765936,6.192225694750766,6.326493764215498,6.47244904040919,6.47244904040919,6.47244904040919
12000,3.2561060941534983,5.714804524515509,6.072571185962623,6.152824739269301,6.365237608867333,6.365237608867333,6.365237608867333
12400,9.002195461593756,6.13024857704235,6.318641037610921,6.312756043685395,6.190248002242683,6.450300765406896,6.450300765406896
12800,4.838727335582433,5.976870725210515,6.148300136358084,6.248047572702242,6.125349656348501,6.399939095724881,6.399939095724881
13200,4.5757633192990825,5.449600519004701,5.6765803081042145,6.187673745689084,6.088948190870981,6.344661041893796,6.344661041893796
13600,6.400814424493645,5.6147213270244825,5.862445821395209,6.218031991243558,6.058330467901686,6.346312611970262,6.346312611970262
14000,5.865788159882038,6.1366577401701905,5.925731132342849,6.192785207732579,6.069912421479729,6.332583341910599,6.332583341910599
14400,6.645257694673711,5.6652701867861825,5.897759381914265,6.161904885906965,6.201140997640488,6.341268740598463,6.341268740598463
14800,4.3993415583712245,5.57739303134394,5.777131878277228,6.078873844661547,6.181935848681692,6.288784222159889,6.288784222159889
15200,5.599826013438608,5.782205570171845,5.615903044588274,5.93036753128011,6.155362099067679,6.270653742983012,6.270653742983012
15600,3.958373550453657,5.2937173953638474,5.454219361194165,5.823222527972466,6.035735629875054,6.211364507277132,6.211364507277132
16000,7.638207708685048,5.64820130512445,5.89242952264732,5.982500354304972,6.066026333728642,6.247035587312331,6.247035587312331
16400,6.096079694525669,5.538365705094841,5.601817945940512,5.960229491775715,6.075776677770434,6.04314048816714,6.243353736268753
16800,6.483010540266313,5.955099501473859,5.7662462664089,5.957273201383491,6.087447137271128,6.0355738088636,6.249059850649647
17200,9.578776682911757,6.750889635368489,6.266547602770167,5.971563955437191,6.213965031382779,6.133348043845777,6.326495125818534
17600,5.0202765983485325,6.963270244947464,6.128493820155656,5.9954698207754324,6.188185934214257,6.075871305965178,6.296808341103306
18000,5.239885529812338,6.483605809172921,6.065903557148686,5.9958173447457686,6.150491324204614,6.068910205396968,6.273321167519062
18400,5.045049831385842,6.273399836544956,5.905882770819899,5.901821076367082,6.076564180877943,6.127326440935341,6.246619616733557
18800,7.361888513029242,6.449175431097542,6.2021374662857,5.989634672281464,6.119961718536264,6.1869862530826945,6.270348742186657
19200,4.897020577315481,5.5128242099782865,6.1318569226733874,5.873879983630831,5.997530661744536,6.149485804969107,6.241737738751841
19600,5.132875639797625,5.5353440182681055,6.249307131607784,5.851763246400975,5.9652507291842385,6.089128505308237,6.219107899997674
20000,6.110018796448639,5.709370671595366,6.0964882403841445,5.994458881515732,6.020496316331362,6.073641810392516,6.216926117926692
20400,6.842899654594471,6.068940636237092,6.171170236391024,5.886494091165767,6.030543073314152,6.099625067425581,6.068746437811917
20800,6.629073530259993,5.922377639683242,6.185776535390392,5.976011400899646,6.033440979385792,6.112029486800944,6.065614354168958
21200,2.916379955604435,5.526249515341033,5.51953686265966,5.8930422327149135,5.820888257844681,6.040357989201999,6.010585807608553
21600,9.2684376755195,6.353361922485408,5.944352970376757,6.0364233952662065,5.978430870642541,6.127227693254882,6.049567638847495
22000,7.238473327893137,6.579052828774307,6.144211750184836,6.10505765366676,6.04528214655879,6.14892143069967,6.083970514354542
22400,7.855192069763171,6.781511311808048,6.4252259740225695,6.1655543724212345,6.076289375585578,6.1637296291641,6.186906347552787
22800,4.927707482356709,6.44123810222739,6.181807870955316,6.191972668620508,6.0536924051727485,6.135423256641028,6.185950576657219
23200,4.822908286333226,6.822543768373149,6.174396641857091,6.15312678226524,5.974052203039583,6.041747156772674,6.154467972346704
23600,6.785803523980988,6.326016938065446,6.339689430275427,6.294498280941606,6.014405307692459,6.058860404457036,6.139240690301675
24000,4.6518725920521655,5.808696790897253,6.19387480983578,6.145181525109962,6.060930857622415,6.063840939707466,6.097688410281169
24400,7.7272469655503215,5.7831077700546825,6.282309540931364,6.226739888661195,6.018432574420967,6.093484690218455,6.136161962126738
24800,4.963968685653736,5.790360010714087,6.115799056470739,6.150787795930565,6.022607286090009,6.054030498657029,6.112783400734903
25200,5.803337096297786,5.9864457727069995,6.404494770540074,5.962015816599867,6.063526411989967,5.966789886018529,6.1131853454696135
25600,8.543757188696036,6.338036505650009,6.332026721857727,6.138189846117242,6.1349578374633795,6.066829833446337,6.168187498975451
26000,4.565340431401783,6.320730073519932,6.064713432208592,6.1044625911967145,6.091609579847371,6.050139967971241,6.132079831001455
26400,5.026326088640987,5.780545898138065,5.781826834096373,6.103526404059472,6.037645192979613,6.002673740213277,6.087349070150554
26800,7.978755094232619,6.383503179853841,6.086931595283964,6.13436973311964,6.156958977508327,6.062002202700553,6.1257249243696155
27200,6.270325551807956,6.476900870955876,6.231673321831438,6.203034981844264,6.17930896212064,6.038457482737547,6.079732389784428
27600,3.464162805721466,5.460981994360962,5.899509250005485,6.119599340140456,6.162835270629566,5.985681293270716,6.026990173566726
28000,8.946688532317616,6.337251614544129,6.32899084403203,6.261432826933905,6.2064512980839845,6.127945854224818,6.116870920572381
28400,3.211760159796252,5.974338428775182,5.877442163456624,6.079875852193995,6.110307313593004,5.983184971679881,6.050276184866089
28800,5.525327654292189,5.4836529407870955,5.933578060320469,6.024688558395604,6.0783845507272,6.000349979647625,6.029940010989716
29200,8.10731780839675,5.851051392104854,6.163976131530366,6.2842354510352205,6.0293359215767,6.088638841875066,6.006227135120896
29600,4.577136559701275,6.073646142900817,5.76731406863089,6.049670395244308,6.014564586955125,6.043046895255257,6.0069266804832475
30000,7.526932042635706,5.789694844964435,6.0634732297542815,6.0640933309814375,6.090799470715904,6.084575492324099,6.052806620327849
30400,9.038109498928389,6.954964712790863,6.464651570783022,6.123239202439698,6.223901459633988,6.144396787430465,6.095069306327225
30800,3.191096304684978,6.488118442869419,5.985885691828258,6.036408643556111,6.0848750526891795,6.11419065608831,6.0467789005260935
31200,7.329438046816929,6.332542490553455,6.0917969413291555,6.161735131580296,6.165955635005894,6.157430956922767,6.049125374455868
31600,6.421837162184435,6.701482611050087,6.387564376975453,6.143536813490469,6.208921019085454,6.219017547216037,6.066057910011662
32000,6.401926746901017,6.476481551903149,6.133088198433792,6.231039521232911,6.218651284100535,6.188110523171437,6.128974323066614
32400,9.4655653832044,6.561972728758351,6.758468720774607,6.317955442115616,6.306073475054199,6.272347665388405,6.138241721498826
32800,4.812322795522311,6.8862180269258175,6.687168234897619,6.310373147609043,6.245515117229609,6.230580471769804,6.137713630697624
33200,6.21291180963723,6.662912779489879,6.497727635021667,6.330851883276017,6.355399512364035,6.146433849937941,6.170456600504386
33600,4.909225066837506,6.360390360420492,6.530936485735291,6.14912527718309,6.210092425407969,6.143657561650166,6.1406248133512635
34000,6.067991927441876,6.293603396528665,6.385042474215907,6.2242578519850955,6.17107637872626,6.164360221590905,6.14466888870246
34400,8.859649045231562,6.172420128934097,6.367196428846225,6.415923999814623,6.20455827790854,6.259725201937047,6.188956715713618
34800,3.903883365938418,5.990732243017318,6.4384751349715685,6.2121804133999134,6.170430807361263,6.173275073259776,6.1790475518649615
35200,7.133694449999228,6.1748887710897185,6.4189007752897975,6.2553488583094765,6.247457012816797,6.22919192007687,6.209724920596174
35600,6.998811706751669,6.592806099072551,6.476598229746521,6.432081303360986,6.254557285575819,6.275840321750722,6.270533683722135
