Step,Reward,Smoothed5Reward,Smoothed10Reward,Smoothed20Reward,Smoothed30Reward,Smoothed40Reward,Smoothed50Reward
400,9.324515478818022,9.324515478818022,9.324515478818022,9.324515478818022,9.324515478818022,9.324515478818022,9.324515478818022
800,6.69728462859188,8.010900053704951,8.010900053704951,8.010900053704951,8.010900053704951,8.010900053704951,8.010900053704951
1200,5.529934878322649,7.183911661910851,7.183911661910851,7.183911661910851,7.183911661910851,7.183911661910851,7.183911661910851
1600,7.234560393165194,7.196573844724436,7.196573844724436,7.196573844724436,7.196573844724436,7.196573844724436,7.196573844724436
2000,5.362781551036655,6.829815385986881,6.829815385986881,6.829815385986881,6.829815385986881,6.829815385986881,6.829815385986881
2400,2.8509543465132943,5.535103159525934,6.166671879407949,6.166671879407949,6.166671879407949,6.166671879407949,6.166671879407949
2800,4.851602076717335,5.165966649151025,5.978804764737861,5.978804764737861,5.978804764737861,5.978804764737861,5.978804764737861
3200,6.345603329630122,5.32910033941252,6.024654585349394,6.024654585349394,6.024654585349394,6.024654585349394,6.024654585349394
3600,7.318863715579264,5.345961003895335,6.168455599819379,6.168455599819379,6.168455599819379,6.168455599819379,6.168455599819379
4000,6.991814826435165,5.671767658975036,6.250791522480958,6.250791522480958,6.250791522480958,6.250791522480958,6.250791522480958
4400,6.166015123512248,6.334779814374827,5.934941486950381,6.243084577120166,6.243084577120166,6.243084577120166,6.243084577120166
4800,6.036837697204213,6.571826938472202,5.868896793811613,6.2258973371271695,6.2258973371271695,6.2258973371271695,6.2258973371271695
5200,5.904306927791272,6.483567658104432,5.906333998758476,6.201159613332101,6.201159613332101,6.201159613332101,6.201159613332101
5600,5.666886296840928,6.153172174356765,5.74956658912605,6.162997233582731,6.162997233582731,6.162997233582731,6.162997233582731
6000,6.327955120509565,6.020400233171645,5.846083946073341,6.17399442604452,6.17399442604452,6.17399442604452,6.17399442604452
6400,7.272630121042357,6.241723232677667,6.288251523526247,6.242659156981885,6.242659156981885,6.242659156981885,6.242659156981885
6800,6.017410307218056,6.237837754680436,6.404832346576319,6.229409224642836,6.229409224642836,6.229409224642836,6.229409224642836
7200,8.386429268620919,6.7342622228463656,6.608914940475398,6.349243671530508,6.349243671530508,6.349243671530508,6.349243671530508
7600,6.227173490521843,6.846319661582548,6.4997459179696575,6.34281892516163,6.34281892516163,6.34281892516163,6.34281892516163
8000,4.4850647520830105,6.4777415878972375,6.249070910534441,6.249931216507699,6.249931216507699,6.249931216507699,6.249931216507699
8400,7.033314492551901,6.429878462199146,6.335800847438407,6.1353711671943945,6.287235182033614,6.287235182033614,6.287235182033614
8800,6.644969863924876,6.55539037354051,6.396614064110473,6.132755428961043,6.303495849392308,6.303495849392308,6.303495849392308
9200,10.23486715400296,6.925077950616918,6.8296700867316416,6.368002042745059,6.474425036549293,6.474425036549293,6.474425036549293
9600,4.590491130597393,6.597741478632028,6.722030570107289,6.235798579616668,6.395927790467964,6.395927790467964,6.395927790467964
10000,5.313293878523857,6.763387303920197,6.620564445908718,6.233324195991029,6.352622433990199,6.352622433990199,6.352622433990199
10400,6.8013529694400985,6.716994999297836,6.573436730748492,6.4308441271373695,6.369881300738272,6.369881300738272,6.369881300738272
10800,5.647040022829815,6.517409031078825,6.536399702309668,6.470616024442994,6.343109401556478,6.343109401556478,6.343109401556478
11200,7.36022205862956,5.942480012004145,6.433778981310532,6.5213469608929655,6.379434853594802,6.379434853594802,6.379434853594802
11600,5.39742839975676,6.103867465836018,6.350804472234023,6.42527519510184,6.345572562083145,6.345572562083145,6.345572562083145
12000,3.314938729642089,5.704196436059664,6.233791869989931,6.2414313902621865,6.24455143433511,6.24455143433511,6.24455143433511
12400,9.454440304003269,6.234813902972299,6.475904451135068,6.405852649286738,6.248882261841285,6.34809623658247,6.34809623658247
12800,4.802588844939641,6.065923667394264,6.291666349236545,6.344140206673509,6.1857257357195445,6.299799130593632,6.299799130593632
13200,4.596460304139891,5.51317131649633,5.727825664250237,6.278747875490939,6.154609916580118,6.248182802519276,6.248182802519276
13600,6.461898471255083,5.726065330795994,5.914966398316006,6.318498484211647,6.128854519183116,6.2544685574820935,6.2544685574820935
14000,5.813822963513044,6.225842177570185,5.965019306814925,6.292791876361821,6.143889232932327,6.241878683368692,6.241878683368692
14400,6.823141251162612,5.699582367002054,5.967198134987177,6.270317432867834,6.276295463087306,6.258024865807412,6.258024865807412
14800,4.388695912426639,5.616803780499454,5.841363723946858,6.1888817131282625,6.2608652576109485,6.207502461661986,6.207502461661986
15200,5.529764037440554,5.803464527159586,5.658317921827957,6.046048451569245,6.233670614537962,6.189667239971948,6.189667239971948
15600,3.971157641162042,5.305316361140978,5.515690845968487,5.933247659101255,6.122080412057389,6.132782378464002,6.132782378464002
16000,7.508681550457839,5.644288078529937,5.935065128050061,6.084428499019997,6.139309302858144,6.1671798577638475,6.1671798577638475
16400,6.131843469526696,5.506028522202754,5.602805444602405,6.039354947868736,6.138170247725293,6.087363057531564,6.166317994636112
16800,6.580303949650735,5.944350129647573,5.7805769550735135,6.036121652155029,6.15628578947351,6.084438540558036,6.176174803088842
17200,10.11545854406232,6.861489030971926,6.332476779065757,6.030151221657997,6.296657510015878,6.199076632201528,6.267786052878922
17600,5.011044320633483,7.069466366866214,6.187391364003597,6.051178881159801,6.274796110808964,6.143488730388236,6.239223740782435
18000,5.1294562887639295,6.593621314527434,6.118954696528685,6.041987001671805,6.2348461497507754,6.137655598831417,6.214562241848691
18400,5.010916114596243,6.369435843541342,5.937732182872049,5.952465158929612,6.159455682869239,6.191654643033491,6.1883960216910285
18800,7.5287662371060575,6.559128301032407,6.25173921533999,6.046551469643425,6.209834213865506,6.258583747043209,6.216914536912625
19200,4.924178130104911,5.5208722182409256,6.191180624606426,5.924749273217192,6.094425842581638,6.223048117055078,6.189982528437464
19600,5.035617962708816,5.525786946655992,6.297626656761103,5.906658751364795,6.054707324987871,6.165966973233317,6.16642406791239
20000,5.970311814728253,5.693958051848856,6.143789683188144,6.039427405619103,6.104215560409378,6.140429397940645,6.162501822848707
20400,6.6923582096811405,6.030246470865835,6.199841157203588,5.901323300902996,6.092850350980354,6.153587975094867,6.1098586774659704
20800,6.508382916112613,5.8261698066671475,6.1926490538497765,5.986613004461645,6.088297452719944,6.165376605567577,6.1060806432163846
21200,2.861038412754604,5.413541863197085,5.467207040719005,5.89984190989238,5.842503161344999,6.08929489269166,6.052702713905023
21600,9.046633569067804,6.215744984468882,5.870765965562437,6.029078664783016,5.991041242627346,6.1737885744973315,6.088944177423075
22000,7.031965037751905,6.428075629073613,6.061016840461234,6.0899857684949605,6.0483302812682815,6.19138882242839,6.12232784715738
22400,7.960225243727159,6.681649035882818,6.355947753374326,6.146839968123187,6.08695935707785,6.208578700495511,6.224513265101657
22800,4.882659121103646,6.356504276881023,6.091337041774085,6.171538128557038,6.061479993686977,6.180209920842651,6.225134405989383
23200,4.781349679351286,6.7405665302003595,6.077054196698723,6.134117410652574,5.975517581044369,6.090082931110909,6.193849332983807
23600,6.766643101475222,6.284568436681843,6.2501567105753635,6.273891683668233,6.021158071101651,6.103569671384744,6.182804920701726
24000,4.556531366044927,5.7894817023404475,6.108778665707031,6.126284174447587,6.062544492315079,6.1053563367337915,6.134099251493922
24400,7.4871857141509075,5.694873796425197,6.188261416154008,6.194051286678798,5.9969693393200005,6.116703117273767,6.160522663306694
24800,4.93742066882169,5.705826105968807,6.031165191424915,6.111907122637346,6.001463733449401,6.074014387396187,6.138534322739044
25200,5.787513271729997,5.907058824444549,6.323812677322454,5.89550985902073,6.041165499035739,5.962830540339363,6.13619844961782
25600,8.10753072088524,6.1752363483265515,6.229902392504198,6.050334179033317,6.096019907356744,6.0507565300965584,6.185011338098705
26000,4.678112785874917,6.19955263229255,5.994517167316499,6.027767003888867,6.058162901435472,6.034877002780336,6.152014491406012
26400,5.2242274391996775,5.746960977302304,5.720917386863751,6.038432570119039,6.0048657743700415,5.995448864524326,6.111046437769159
26800,8.18705254709972,6.39688735295791,6.051356729463359,6.071346885618722,6.131477662192478,6.058949177631073,6.154439282566792
27200,6.216094265318979,6.482603551675706,6.194831188060128,6.135942692379425,6.154355336455092,6.030345982798308,6.111032582500753
27600,3.346115585328634,5.530320524564385,5.852778436445469,6.051467573510417,6.133520601260645,5.979063162437606,6.053411424396888
28000,9.093472099872525,6.413392387363908,6.306472509828229,6.207625587767629,6.186346952907801,6.1235264966933665,6.14557957135268
