Step,Reward
400,8.208483824042952
800,22.66846757213921
1200,3724.4099473899505
1600,20.20266579632561
2000,9.660464439397114
2400,1.0515191751484783
2800,4.780669266145981
3200,3853.8420024889124
3600,3843.4587395197996
4000,3240.8739535186432
4400,5.056375919526634
4800,3312.3928360086543
5200,1.807107184569544
5600,18.89943822568222
6000,62.760167600709146
6400,3061.2601087852677
6800,1960.969566446057
7200,40.183560640838884
7600,5.812192964733386
8000,1.1309615068175616
8400,2943.3984727065817
8800,2727.8883131241023
9200,2556.839625264811
9600,17.970249467287754
10000,968.2428530216214
10400,2233.578745426934
10800,3337.3240614221286
11200,3203.25448013858
11600,16.221395488700537
12000,1601.5619673119088
12400,0.8435758567391589
12800,0.46151331828145914
13200,2721.1505808521174
13600,2842.7154433645774
14000,3831.7860971932314
14400,3804.743936808548
14800,3708.7687520254585
15200,3545.4940086946262
15600,3.793073054695158
16000,1112.3427672012544
16400,5.250783780358931
16800,3533.331557559498
17200,2.8597332521501775
17600,8.821072829523194
18000,9.208180757225197
18400,8.965073217199453
18800,20.795757851608712
19200,128.4514104490663
19600,3527.006836448617
20000,33.20843376938183
20400,109.71561745931035
20800,3776.4316316064724
21200,3739.7206660228326
21600,2866.7437457043497
22000,419.3658944467594
22400,3837.6252964068494
22800,3835.7840031909827
23200,3845.389122236902
23600,3845.4378438830063
24000,3855.97934998881
24400,3857.07758783659
24800,3855.958204135576
25200,3849.046880190847
25600,3859.044737208674
26000,3847.6559017304194
26400,3806.0539972690526
26800,3857.8730837946905
27200,3855.4717068875
27600,3856.698579709076
28000,3834.8127077135237
28400,3857.2385548657485
28800,378.81240150587917
29200,3855.528459892682
29600,3856.9213243022905
30000,3854.72418734822
30400,3855.5516477645324
30800,3845.4996893454804
31200,3854.1572882247992
31600,3856.6687933440553
32000,3855.65227778122
32400,3852.496932180032
32800,3846.875991005353
33200,3851.44457487691
33600,3846.906199756417
34000,3830.7086531168707
34400,3857.0609422483158
34800,3857.27905745872
35200,3854.776837141664
35600,3856.8749345186757
36000,3855.1604856120857
36400,3854.548283651621
36800,3855.084197599066
37200,3853.336818548294
37600,3856.066343228358
38000,3854.5347918876873
38400,1145.5773359036943
38800,3856.195161933687
39200,3833.6446209677288
39600,3855.858057810312
40000,3851.753609415985
40400,3855.9787915845927
40800,3862.6149629940255
41200,3854.0339290671222
41600,3851.8870759687434
42000,3852.067719788314
42400,3855.2261603994325
42800,3854.2858923077033
43200,3853.5522157632995
43600,3861.2372013371933
44000,3850.1490747056787
44400,3851.8060309778066
44800,3542.9171684474118
45200,3862.3095948683676
45600,3860.8338861228876
46000,3860.2475690234805
46400,3851.8166381135125
46800,3860.0835862884473
47200,3862.2880483003537
47600,3862.39739550994
48000,3861.0769726346816
48400,3860.13931188726
48800,3860.2792926555708
49200,3862.088487570928
49600,240.47642488622125
50000,3851.6368214790496
50400,3862.583404571272
50800,3780.1161276508433
51200,3851.2461261758394
51600,3850.161351833159
52000,3052.6694745109853
52400,3850.644079522431
52800,3860.483146381653
53200,3842.304873668634
53600,3861.309450745208
54000,3860.704902893634
54400,760.0
54800,3861.9324178689435
55200,3860.810335406589
55600,151.94989831358188
56000,422.30131697923474
56400,3861.5821077509436
56800,3762.461841083806
57200,3861.5027177994766
57600,3860.972527830308
58000,3861.289115758409
58400,3861.6410767162583
58800,3852.9083654720034
59200,3861.2063578700186
59600,3864.4299586883208
60000,3841.3899385592454
60400,3861.21251693894
60800,3852.037378617664
61200,3862.6003685409787
61600,3843.208871740002
62000,3860.7802842990272
62400,3860.0
62800,3861.8199434514017
63200,3863.511745735058
63600,3861.661846317341
64000,3862.0600864609687
64400,3862.322616762197
64800,3860.5258611202553
65200,3860.9559681552223
65600,3861.696906203677
66000,3860.4686965123747
66400,3762.054250527209
66800,3860.1828289120094
67200,3860.765321615345
67600,3860.088781326689
68000,3860.6976184616597
68400,3672.4393647415955
68800,3861.9860438525266
69200,3860.288443020174
69600,3862.219897460312
70000,3860.9781812301194
70400,3861.8168490009703
70800,3863.1947199037068
71200,3860.069577605706
71600,3860.4558289092756
72000,3861.0649988504683
72400,3861.371380085523
72800,3862.2269046476476
73200,3840.4890059343443
73600,3730.689126370182
74000,3861.3668741992187
74400,3862.5853320132196
74800,3860.5391832460646
75200,3862.0475677272266
75600,3861.908877129002
76000,3802.4923997133956
76400,3861.165350623076
76800,3862.10709534733
77200,3860.7849638471666
77600,3811.5788819193644
78000,3862.765109698334
78400,3860.0
78800,3860.962762593531
79200,3840.3433410333423
79600,3861.1800700589383
80000,3861.471703942125
80400,3690.7150149576273
80800,3863.0076161045245
81200,3861.554798909504
81600,3861.1767568386576
82000,3861.3358083429694
82400,3862.7220123531997
82800,3860.0
83200,3860.085885805399
83600,3860.3426226922084
84000,3860.930697440416
84400,3862.5440711937877
84800,3862.703917650521
85200,3851.293410043051
85600,3860.210354017468
86000,3790.123229602859
86400,3861.7257157857794
86800,3863.6214370613766
87200,3860.652528724772
87600,3862.56208649633
88000,3860.0
88400,3861.6077754314138
88800,3861.7409578702004
89200,3864.7230477509734
89600,3862.145875822437
90000,3862.134127510688
90400,3861.773547708968
90800,3861.1386665885916
91200,3840.71275478427
91600,3862.590723089038
92000,3863.655641992307
92400,3861.9821907022897
92800,3860.5876963286073
93200,3860.3568279496967
93600,3863.7101577064486
94000,3862.613470892831
94400,3860.50149762155
94800,1781.6530818843871
95200,3860.965532557595
95600,3862.1084840366893
96000,3862.66014278535
96400,3840.7858234720115
96800,3863.0835729166047
97200,3861.8937537762754
97600,3861.3357872250303
98000,3860.9137777653723
98400,3861.715281339453
98800,3860.7980863213984
99200,3862.922517038845
99600,3863.124045160556
100000,3860.9341719687122
100400,3862.7818956201545
100800,3860.6120275694857
101200,3860.909470207631
101600,3840.8996365163334
102000,3861.088516755372
102400,3860.796866833276
102800,3860.9115451999855
103200,3840.0
103600,3863.506867280404
104000,3860.426189235257
104400,3860.801242906751
104800,3861.155403562441
105200,3860.0690992729187
105600,3861.0643166063455
106000,3860.3800339768386
106400,3840.2416679951584
106800,3840.1217917203094
107200,3860.6068821612416
107600,3860.712916231876
108000,3860.5072570552725
108400,3861.5146260744323
108800,3860.6238145066113
109200,3841.33018344057
109600,3860.9105171216065
110000,3861.5784871457104
110400,3860.0
110800,3860.512034507109
111200,3860.0
111600,3860.82278058933
112000,3860.463070965764
112400,3840.0
112800,3441.9207756971646
113200,3640.2282185214517
113600,3852.2302793670865
114000,3501.500565370481
114400,3620.2894346837647
114800,3860.7742143351734
115200,3560.5473109388645
115600,2631.141821242017
116000,3862.1264184087904
116400,3861.0617414522685
116800,1852.8328932333586
117200,242.9766659615203
117600,3841.9005109064165
118000,3862.3336365239375
118400,3841.3355062039714
118800,3861.0655972626755
119200,3863.243800224819
119600,1332.5623970387853
120000,3860.0
120400,3862.409280728545
120800,3860.622394413118
121200,3860.635715017578
121600,2043.2766607660633
122000,1966.0121692408131
122400,3864.130189527738
122800,3861.69032207628
123200,3864.084799077248
123600,3860.852296156112
124000,3861.287996956999
124400,3860.901161187816
124800,3862.4590656982878
125200,3862.787160074048
125600,3862.0999936085377
126000,3843.601869066164
126400,3862.518849930002
126800,3864.525680635605
127200,2744.090016628112
127600,3862.029147661641
128000,3863.442241849078
128400,3863.435480543039
128800,3863.2376903368186
129200,3862.5179390297853
129600,3863.1934077450455
130000,3862.9725255399007
130400,3862.6742911513447
130800,3864.3176567874852
131200,3862.3524173847527
131600,3853.8655510425356
132000,3865.2613947868067
132400,3863.9130428452418
132800,3361.5821061617107
133200,3862.352405553731
133600,3865.482877933422
134000,3860.7468751465804
134400,3864.757809501697
134800,3862.9147683014435
135200,3862.650775026653
135600,3864.1615075502427
136000,3862.4732540123405
136400,3865.506744742867
136800,3862.3937723929103
137200,3862.530214048622
137600,3861.200654543185
138000,3863.1045703852687
138400,3861.5838581111457
138800,3285.5747922546084
139200,3863.5018978825055
139600,3684.734791228959
140000,3862.2809007847286
140400,3820.4804011573065
140800,3862.10454679577
141200,3864.7909069880257
141600,3850.8843147604052
142000,3861.9642650788883
142400,3861.946878291885
142800,3861.5882241919376
143200,3863.2814986053236
143600,3860.531007465734
144000,3851.9555414578517
144400,3861.194569955609
144800,3861.4205573235586
145200,3861.7174913287636
145600,3862.2177465546065
146000,3841.998947233159
146400,3863.1812224946007
146800,3862.0495467756446
147200,3863.3164989762226
147600,3861.6486723070666
148000,3863.8171624268653
148400,3861.9668075654695
148800,3861.4438745477773
149200,3861.8462325672836
149600,3842.153111386314
150000,3841.8047192718122
150400,3862.029199036455
150800,3862.464015159285
151200,3840.371415032977
151600,3863.0625967309
152000,3863.4204427530176
152400,3862.706211219955
152800,3863.1894099254955
153200,3841.9799431020897
153600,3863.228661490391
154000,3863.295119555447
154400,523.9496395468312
154800,3861.312950731294
155200,3865.925158670654
155600,3863.263591498362
156000,3861.8661073368594
156400,3862.5010795806297
156800,3864.3479755988656
157200,3863.172934618079
157600,3861.469495751281
158000,3866.32863637786
158400,3860.3751034927905
